 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,             36,         0,           0,          2
 1,             0,               0,              2,         0,           0,          0
 2,             1,               0,             10,         1,           0,         12
 3,             2,               0,              5,         2,           0,         12
 4,             3,               0,              6,         4,           0,         20
 5,             4,               0,             10,         5,           0,         29
 6,             6,               1,             15,         7,           0,         25
 7,            10,               4,             25,        10,           0,         27
 8,            11,               4,             23,        14,           0,         56
 9,            12,               4,             20,        15,           0,         52
10,            13,               4,             20,        17,           0,         50
