  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              4,         0,           0,          1
  1,             0,               0,              3,         0,           0,          0
  2,             1,               0,              9,         1,           0,          7
  3,             2,               0,              5,         2,           0,          8
  4,             4,               1,             10,         4,           0,         20
  5,             5,               1,             10,         6,           0,         14
  6,             9,               4,             16,        10,           0,         20
  7,            12,               6,             20,        13,           0,         25
  8,            13,               6,             21,        15,           0,         27
  9,            14,               6,             22,        16,           0,         31
 10,            16,               7,             25,        18,           0,         32
 11,            18,               8,             28,        21,           0,         37
 12,            19,               8,             29,        26,           0,         54
 13,            20,               8,             36,        28,           0,         47
 14,            21,               8,             30,        30,           0,         50
 15,            22,               8,             32,        33,           0,         54
 16,            23,               8,             31,        36,           0,         58
 17,            24,               8,             34,        37,           0,         61
 18,            25,               8,             35,        40,           0,         69
 19,            27,               9,             36,        42,           0,         72
 20,            28,               9,             38,        45,           0,         75
 21,            29,               9,             38,        47,           0,         87
 22,            30,               9,             40,        49,           0,         82
 23,            31,               9,             41,        53,           0,         85
 24,            32,               9,             41,        59,           0,         93
 25,            33,               9,             42,        61,           0,         99
 26,            34,               9,             42,        63,           0,        101
 27,            35,               9,             44,        67,           0,        103
 28,            37,              10,             46,        69,           0,        108
 29,            39,              11,             50,        73,           0,        114
 30,            40,              11,             51,        78,           0,        121
 31,            41,              11,             51,        82,           0,        124
 32,            42,              11,             77,        86,           0,        111
 33,            43,              11,             43,        87,           0,        108
 34,            44,              11,             43,        88,           0,        111
 35,            46,              12,             46,        90,           0,        113
 36,            48,              13,             50,        97,           0,        119
 37,            50,              14,             51,       100,           0,        123
 38,            55,              18,             58,       102,           0,        127
 39,            56,              18,             59,       108,           0,        132
 40,            57,              18,             60,       111,           0,        134
 41,            58,              18,             59,       113,           0,        138
 42,            59,              18,             60,       115,           0,        142
 43,            61,              19,             64,       117,           0,        145
 44,            63,              20,             66,       122,           0,        149
 45,            65,              21,             68,       127,           0,        153
 46,            66,              21,             69,       132,           0,        231
 47,            67,              21,            106,       135,           0,        187
 48,            68,              21,            107,       144,           0,        138
 49,            69,              21,             59,       146,           0,        138
 50,            71,              22,             58,       146,           0,        199
 51,            72,              22,             63,       151,           0,        240
 52,            73,              22,             67,       153,           0,        149
 53,            75,              23,             62,       158,           0,        151
 54,            77,              24,             46,       162,           0,        118
 55,            78,              24,             67,       169,           0,        118
 56,            80,              25,             51,       172,           0,        120
 57,            81,              25,            110,       175,           0,        143
 58,            82,              25,             53,       176,           0,        123
 59,            83,              25,             50,       181,           0,        127
 60,            85,              26,             52,       184,           0,        128
 61,            86,              26,             51,       190,           0,        131
 62,            87,              26,             52,       196,           0,        134
 63,            88,              26,             54,       203,           0,        138
 64,            89,              26,             52,       205,           0,        140
 65,            90,              26,             53,       206,           0,        142
 66,            91,              26,             54,       208,           0,        143
 67,            92,              26,             56,       207,           0,        146
 68,            94,              27,             57,       217,           0,        149
 69,            97,              29,             59,       219,           0,        153
 70,           100,              31,             61,       223,           0,        154
 71,           101,              31,             61,       224,           0,        154
 72,           102,              31,             61,       231,           0,        158
 73,           104,              32,             63,       231,           0,        161
 74,           106,              33,             65,       237,           0,        213
 75,           107,              33,             72,       240,           0,        170
 76,           108,              33,            106,       244,           0,        174
 77,           109,              33,             66,       250,           0,        216
 78,           111,              34,             69,       250,           0,        178
 79,           112,              34,             69,       256,           0,        216
 80,           113,              34,             71,       262,           0,        237
 81,           114,              34,            155,       263,           0,        339
 82,           115,              34,             73,       265,           0,        182
 83,           116,              34,             72,       271,           0,        186
 84,           117,              34,             69,       272,           0,        186
 85,           118,              34,             69,       276,           0,        188
 86,           119,              34,             71,       278,           0,        203
 87,           120,              34,             72,       281,           0,        195
 88,           121,              34,             72,       287,           0,        195
 89,           122,              34,             72,       290,           0,        200
 90,           124,              35,            146,       295,           0,        207
 91,           125,              35,            100,       298,           0,        212
 92,           126,              35,             77,       305,           0,        231
 93,           128,              36,             80,       308,           0,        248
 94,           129,              36,             77,       317,           0,        254
 95,           130,              36,             78,       318,           0,        217
 96,           131,              36,             77,       327,           0,        217
 97,           132,              36,             76,       329,           0,        225
 98,           134,              37,             78,       338,           0,        225
 99,           136,              38,             79,       342,           0,        238
100,           137,              38,             82,       335,           0,        253
