   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              4,         0,           0,          1
   1,             0,               0,              4,         0,           0,          1
   2,             1,               0,              7,         1,           0,          7
   3,             3,               2,             15,         3,           0,         12
   4,             4,               2,             12,         5,           0,         14
   5,             5,               2,             11,         6,           0,         16
   6,             6,               2,             11,         8,           0,         20
   7,             7,               2,             15,        10,           0,         24
   8,             8,               2,             14,        13,           0,         29
   9,             9,               2,             10,        14,           0,         18
  10,            10,               2,             10,        16,           0,         21
  11,            11,               2,             10,        18,           0,         21
  12,            13,               3,             12,        21,           0,         25
  13,            14,               3,             12,        24,           0,         27
  14,            15,               3,             13,        26,           0,         30
  15,            16,               3,             13,        30,           0,         33
  16,            17,               3,             55,        33,           0,         72
  17,            19,               4,             35,        34,           0,         66
  18,            20,               4,             20,        38,           0,         56
  19,            21,               4,             24,        40,           0,         34
  20,            23,               5,             15,        41,           0,         34
  21,            25,               6,             15,        45,           0,         38
  22,            26,               6,             15,        50,           0,         38
  23,            27,               6,             15,        51,           0,         39
  24,            28,               6,             16,        55,           0,         43
  25,            29,               6,             16,        57,           0,         45
  26,            31,               7,             19,        62,           0,         48
  27,            33,               8,             20,        65,           0,         48
  28,            36,              10,             22,        67,           0,         51
  29,            37,              10,             22,        73,           0,         55
  30,            38,              10,             23,        77,           0,         56
  31,            40,              11,             24,        81,           0,         59
  32,            41,              11,             25,        85,           0,         62
  33,            42,              11,             25,        86,           0,         64
  34,            43,              11,             26,        89,           0,         66
  35,            45,              12,             26,        90,           0,         66
  36,            46,              12,             26,        95,           0,         68
  37,            47,              12,             28,        98,           0,         72
  38,            48,              12,             28,       101,           0,         72
  39,            49,              12,             28,       105,           0,         75
  40,            51,              13,             29,       107,           0,         79
  41,            52,              13,             30,       110,           0,         79
  42,            53,              13,             30,       112,           0,         82
  43,            54,              13,             31,       116,           0,         86
  44,            55,              13,             31,       121,           0,         85
  45,            56,              13,             32,       125,           0,         87
  46,            57,              13,             32,       125,           0,         92
  47,            59,              14,             35,       131,           0,         98
  48,            61,              15,             36,       137,           0,        133
  49,            62,              15,             39,       139,           0,         99
  50,            63,              15,             37,       142,           0,        101
  51,            65,              16,             39,       145,           0,        103
  52,            67,              17,             38,       152,           0,        108
  53,            70,              19,             42,       156,           0,        108
  54,            73,              21,             44,       160,           0,        111
  55,            74,              21,             58,       165,           0,        122
  56,            75,              21,             48,       163,           0,        117
  57,            76,              21,             45,       165,           0,        124
  58,            77,              21,             46,       179,           0,        123
  59,            78,              21,             67,       180,           0,        127
  60,            79,              21,             48,       184,           0,        152
  61,            80,              21,             69,       187,           0,        135
  62,            81,              21,             48,       194,           0,        133
  63,            82,              21,             48,       198,           0,        159
  64,            84,              22,             55,       202,           0,        152
  65,            85,              22,             77,       204,           0,        142
  66,            86,              22,             58,       205,           0,        144
  67,            87,              22,             50,       209,           0,        144
  68,            89,              23,             54,       214,           0,        196
  69,            92,              25,             55,       216,           0,        151
  70,            96,              28,             58,       219,           0,        151
  71,           100,              31,             61,       220,           0,        155
  72,           101,              31,             61,       230,           0,        158
  73,           102,              31,             61,       230,           0,        159
  74,           103,              31,             63,       237,           0,        161
  75,           104,              31,             62,       240,           0,        164
  76,           105,              31,             63,       239,           0,        170
  77,           106,              31,             66,       245,           0,        198
  78,           108,              32,             71,       250,           0,        260
  79,           111,              34,            123,       254,           0,        211
  80,           112,              34,             73,       262,           0,        207
  81,           113,              34,             77,       262,           0,        198
  82,           114,              34,             87,       263,           0,        180
  83,           116,              35,             72,       271,           0,        185
  84,           117,              35,             72,       270,           0,        184
  85,           120,              37,             72,       274,           0,        236
  86,           124,              40,             78,       280,           0,        195
  87,           125,              40,             77,       285,           0,        198
  88,           126,              40,             85,       291,           0,        200
  89,           127,              40,             99,       294,           0,        209
  90,           128,              40,            101,       302,           0,        221
  91,           130,              41,             82,       304,           0,        234
  92,           131,              41,             83,       307,           0,        406
  93,           132,              41,             87,       310,           0,        215
  94,           133,              41,             82,       314,           0,        213
  95,           134,              41,             82,       320,           0,        219
  96,           135,              41,             81,       326,           0,        293
  97,           139,              44,             91,       329,           0,        226
  98,           144,              48,             91,       333,           0,        249
  99,           145,              48,             91,       340,           0,        230
 100,           146,              48,             91,       343,           0,        228
 101,           147,              48,             89,       346,           0,        233
 102,           148,              48,             91,       349,           0,        232
 103,           149,              48,             91,       354,           0,        242
 104,           150,              48,             99,       357,           0,        275
 105,           151,              48,             95,       359,           0,        314
 106,           152,              48,             97,       364,           0,        243
 107,           154,              49,            127,       366,           0,        271
 108,           156,              50,            123,       380,           0,        253
 109,           160,              53,             99,       381,           0,        256
 110,           163,              55,            101,       388,           0,        257
 111,           164,              55,            102,       391,           0,        260
 112,           165,              55,            102,       389,           0,        269
 113,           167,              56,            110,       391,           0,        272
 114,           169,              57,            138,       397,           0,        273
 115,           173,              60,            109,       400,           0,        323
 116,           174,              60,            141,       421,           0,        278
 117,           175,              60,            109,       420,           0,        279
 118,           176,              60,            110,       422,           0,        298
 119,           179,              62,            113,       425,           0,        287
 120,           180,              62,            114,       437,           0,        288
 121,           181,              62,            114,       438,           0,        288
 122,           182,              62,            114,       442,           0,        297
 123,           183,              62,            114,       447,           0,        293
 124,           184,              62,            114,       455,           0,        301
 125,           185,              62,            115,       457,           0,        298
 126,           186,              62,            114,       464,           0,        303
 127,           187,              62,            238,       470,           0,        347
 128,           188,              62,            124,       477,           0,        312
 129,           191,              64,            120,       479,           0,        586
 130,           192,              64,            234,       478,           0,        480
 131,           193,              64,            218,       483,           0,        526
 132,           194,              64,            126,       485,           0,        369
 133,           196,              65,            214,       489,           0,        458
 134,           197,              65,            125,       494,           0,        326
 135,           198,              65,            165,       494,           0,        326
 136,           199,              65,            131,       500,           0,        401
 137,           200,              65,            128,       503,           0,        334
 138,           201,              65,            162,       505,           0,        460
 139,           202,              65,            179,       512,           0,        480
 140,           203,              65,            129,       510,           0,       1009
 141,           204,              65,            147,       514,           0,        579
 142,           205,              65,            134,       517,           0,        458
 143,           208,              67,            138,       523,           0,        680
 144,           209,              67,            241,       535,           0,        649
 145,           210,              67,            283,       536,           0,        361
 146,           212,              68,            134,       535,           0,        652
 147,           213,              68,            140,       539,           0,        475
 148,           214,              68,            138,       547,           0,        363
 149,           215,              68,            133,       552,           0,        523
 150,           217,              69,            275,       554,           0,        812
 151,           219,              70,            385,       555,           0,       2174
 152,           220,              70,            355,       559,           0,        678
 153,           221,              70,            261,       561,           0,        696
 154,           222,              70,            258,       569,           0,        751
 155,           223,              70,            257,       576,           0,        679
 156,           224,              70,            236,       582,           0,        692
 157,           225,              70,            258,       589,           0,        757
 158,           226,              70,            327,       585,           0,        452
 159,           228,              71,            142,       594,           0,        391
 160,           229,              71,            142,       604,           0,        519
 161,           230,              71,            144,       606,           0,        395
 162,           232,              72,            142,       603,           0,        395
 163,           233,              72,            140,       611,           0,        531
 164,           234,              72,            132,       616,           0,        561
 165,           236,              73,            193,       618,           0,        436
 166,           239,              75,            179,       623,           0,        786
 167,           243,              78,            157,       630,           0,        384
 168,           248,              82,            143,       629,           0,        385
 169,           249,              82,            143,       636,           0,        386
 170,           250,              82,            143,       641,           0,        387
 171,           251,              82,            142,       641,           0,        388
 172,           252,              82,            143,       648,           0,        416
 173,           253,              82,            156,       649,           0,        396
 174,           254,              82,            149,       656,           0,        401
 175,           256,              83,            144,       665,           0,        403
 176,           257,              83,            146,       668,           0,        404
 177,           258,              83,            145,       671,           0,        406
 178,           260,              84,            147,       677,           0,        410
 179,           261,              84,            179,       682,           0,        411
 180,           262,              84,            148,       691,           0,        416
 181,           263,              84,            149,       698,           0,        548
 182,           264,              84,            167,       699,           0,        462
 183,           265,              84,            164,       700,           0,        610
 184,           267,              85,           1322,       706,           0,        649
 185,           269,              86,            168,       713,           0,        762
 186,           272,              88,            495,       713,           0,        627
 187,           274,              89,            174,       720,           0,        565
 188,           275,              89,            236,       731,           0,        444
 189,           276,              89,            159,       734,           0,        444
 190,           277,              89,            158,       742,           0,        470
 191,           279,              90,            159,       746,           0,        449
 192,           282,              92,            163,       750,           0,        487
 193,           286,              95,            162,       751,           0,        450
 194,           291,              99,            168,       758,           0,        454
 195,           292,              99,            168,       766,           0,        478
 196,           293,              99,            185,       765,           0,        458
 197,           294,              99,            169,       769,           0,        463
 198,           295,              99,            169,       778,           0,        465
 199,           296,              99,            169,       783,           0,        482
 200,           297,              99,            180,       783,           0,        469
 201,           298,              99,            169,       784,           0,        472
 202,           300,             100,            187,       795,           0,        488
 203,           301,             100,            172,       803,           0,        630
 204,           302,             100,            177,       799,           0,        534
 205,           303,             100,            277,       803,           0,        522
 206,           305,             101,            190,       806,           0,        813
 207,           306,             101,            180,       818,           0,        492
 208,           309,             103,            176,       817,           0,        517
 209,           310,             103,            177,       821,           0,        493
 210,           311,             103,            178,       826,           0,        570
 211,           312,             103,            180,       836,           0,        500
 212,           313,             103,            178,       839,           0,        502
 213,           314,             103,            219,       842,           0,        505
 214,           315,             103,            180,       846,           0,        505
 215,           316,             103,            183,       849,           0,        509
 216,           317,             103,            180,       858,           0,        509
 217,           318,             103,            180,       860,           0,        511
 218,           320,             104,            180,       872,           0,        518
 219,           321,             104,            180,       876,           0,        518
