    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              3,         0,           0,          1
    1,             0,               0,              1,         0,           0,          0
    2,             1,               1,              9,         1,           0,         25
    3,             3,               3,              6,         3,           0,          6
    4,             4,               3,              4,         5,           0,          5
    5,             5,               3,              6,         6,           0,          6
    6,             7,               4,              6,         8,           0,          7
    7,            10,               6,              7,        11,           0,         10
    8,            11,               6,              9,        14,           0,         10
    9,            12,               6,              8,        15,           0,         13
   10,            13,               6,              8,        18,           0,         15
   11,            15,               7,             10,        21,           0,         16
   12,            16,               7,             10,        23,           0,         18
   13,            18,               8,             13,        24,           0,         18
   14,            19,               8,             13,        29,           0,         23
   15,            20,               8,             14,        30,           0,         24
   16,            22,               9,             14,        36,           0,         25
   17,            25,              11,             15,        38,           0,         27
   18,            26,              11,             16,        40,           0,         30
   19,            27,              11,             17,        41,           0,         30
   20,            29,              12,             19,        47,           0,         34
   21,            30,              12,             18,        51,           0,         36
   22,            31,              12,             18,        51,           0,         37
   23,            33,              13,             20,        54,           0,         40
   24,            34,              13,             21,        61,           0,         44
   25,            35,              13,             22,        62,           0,         45
   26,            36,              13,             20,        62,           0,         46
   27,            37,              13,             21,        63,           0,         46
   28,            41,              16,             25,        72,           0,         51
   29,            43,              17,             27,        75,           0,         53
   30,            44,              17,             28,        79,           0,         55
   31,            45,              17,             27,        82,           0,         56
   32,            46,              17,             28,        88,           0,         59
   33,            49,              19,             45,        90,           0,         70
   34,            51,              20,             43,        93,           0,         63
   35,            55,              23,             35,        95,           0,         65
   36,            56,              23,             35,       101,           0,         70
   37,            57,              23,             36,       102,           0,         70
   38,            59,              24,             36,       104,           0,         72
   39,            60,              24,             36,       108,           0,         74
   40,            61,              24,             38,       114,           0,         78
   41,            62,              24,             38,       115,           0,         79
   42,            64,              25,             39,       122,           0,         82
   43,            67,              27,             41,       125,           0,         84
   44,            69,              28,             42,       127,           0,         87
   45,            70,              28,             43,       131,           0,         89
   46,            71,              28,             44,       134,           0,         91
   47,            73,              29,             45,       137,           0,         92
   48,            76,              31,            105,       147,           0,        143
   49,            77,              31,             50,       149,           0,        100
   50,            78,              31,             48,       153,           0,        102
   51,            80,              32,             50,       155,           0,        103
   52,            82,              33,             51,       155,           0,        105
   53,            83,              33,             51,       160,           0,        108
   54,            84,              33,             52,       161,           0,        110
   55,            85,              33,             51,       165,           0,        108
   56,            86,              33,             51,       172,           0,        113
   57,            87,              33,             52,       175,           0,        116
   58,            88,              33,             51,       182,           0,        118
   59,            89,              33,             52,       182,           0,        119
   60,            90,              33,             54,       189,           0,        123
   61,            91,              33,             53,       193,           0,        124
   62,            92,              33,            143,       198,           0,        143
   63,            93,              33,             60,       201,           0,        141
   64,            95,              34,             61,       207,           0,        143
   65,            96,              34,             61,       209,           0,        146
   66,            97,              34,             62,       213,           0,        149
   67,            98,              34,             62,       215,           0,        258
   68,            99,              34,             66,       217,           0,        155
   69,           100,              34,             66,       218,           0,        157
   70,           101,              34,            404,       221,           0,        432
   71,           102,              34,            209,       225,           0,        232
   72,           103,              34,            130,       230,           0,        258
   73,           104,              34,             66,       232,           0,        156
   74,           105,              34,             61,       237,           0,        155
   75,           106,              34,             60,       240,           0,        156
   76,           107,              34,             61,       240,           0,        157
   77,           108,              34,             61,       242,           0,        185
   78,           109,              34,             61,       249,           0,        159
   79,           111,              35,             63,       254,           0,        161
   80,           112,              35,             62,       261,           0,        165
   81,           113,              35,             63,       263,           0,        167
   82,           114,              35,             64,       265,           0,        169
   83,           115,              35,             64,       268,           0,        169
   84,           117,              36,             66,       275,           0,        174
   85,           118,              36,             64,       278,           0,        176
   86,           121,              38,             67,       283,           0,        179
   87,           122,              38,             69,       287,           0,        181
   88,           123,              38,             67,       290,           0,        181
