  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              2,         0,           0,          0
  1,             0,               0,              2,         0,           0,          0
  2,             1,               1,              8,         1,           0,          3
  3,             2,               1,              3,         3,           0,          6
  4,             4,               2,              5,         4,           0,          5
  5,             5,               2,              5,         6,           0,          8
  6,            10,               6,             10,        11,           0,         18
  7,            13,               8,             10,        14,           0,         10
  8,            20,              15,             16,        16,           0,         14
  9,            26,              20,             22,        20,           0,         15
 10,            34,              27,             28,        21,           0,         17
 11,            40,              32,             32,        26,           0,         19
 12,            44,              35,             37,        31,           0,         22
 13,            55,              45,             46,        36,           0,         25
 14,            59,              48,             49,        36,           0,         25
 15,            67,              55,             54,        41,           0,         29
 16,            70,              57,             57,        45,           0,         31
 17,            83,              69,             68,        50,           0,         34
 18,            92,              77,             77,        56,           0,         37
 19,            95,              79,             77,        59,           0,         39
 20,           114,              98,             95,        62,           0,         41
 21,           133,             116,            111,        67,           0,         45
 22,           154,             136,            130,        70,           0,         45
 23,           168,             149,            142,        79,           0,         51
 24,           182,             162,            153,        84,           0,         53
 25,           198,             177,            167,        90,           0,         56
 26,           211,             189,            180,        88,           0,         57
 27,           235,             212,            198,        97,           0,         61
 28,           241,             217,            203,        99,           0,         61
 29,           248,             223,            208,       103,           0,         66
 30,           255,             229,            215,       111,           0,         74
 31,           268,             241,            226,       113,           0,         70
 32,           280,             252,            236,       121,           0,         75
 33,           293,             264,            262,       126,           0,         97
 34,           321,             291,            272,       133,           0,         81
 35,           329,             298,            278,       138,           0,         83
 36,           357,             325,            302,       147,           0,         90
 37,           386,             353,            329,       154,           0,         92
 38,           415,             381,            356,       151,           0,         92
 39,           419,             384,            359,       157,           0,         95
 40,           458,             423,            393,       161,           0,         97
 41,           486,             450,            418,       166,           0,         99
 42,           508,             471,            437,       173,           0,        104
 43,           538,             500,            686,       180,           0,        178
 44,           544,             505,            519,       180,           0,        203
 45,           558,             518,            551,       182,           0,        194
 46,           580,             539,            541,       201,           0,        129
 47,           610,             568,            564,       208,           0,        169
 48,           635,             592,            596,       208,           0,        135
 49,           677,             633,            637,       214,           0,        136
 50,           716,             671,           1287,       226,           0,        267
 51,           726,             680,           1089,       233,           0,        153
 52,           729,             682,           1137,       231,           0,        302
 53,           748,             700,           1082,       237,           0,        256
 54,           800,             751,           1352,       243,           0,        159
 55,           848,             798,            794,       254,           0,        163
 56,           884,             833,            826,       256,           0,        162
 57,           908,             856,            872,       261,           0,        167
 58,           949,             896,           1003,       266,           0,        195
 59,          1007,             953,           1007,       275,           0,        180
 60,          1018,             963,            957,       283,           0,        183
 61,          1067,            1011,           1121,       288,           0,        181
 62,          1098,            1041,           1127,       291,           0,        186
 63,          1105,            1047,           1045,       297,           0,        188
 64,          1129,            1070,           1291,       308,           0,        363
 65,          1139,            1079,           2107,       313,           0,        362
 66,          1190,            1129,           2069,       319,           0,        205
 67,          1252,            1190,           1258,       326,           0,        234
 68,          1318,            1255,           1349,       334,           0,        214
 69,          1382,            1318,           2899,       342,           0,        343
 70,          1448,            1383,           1369,       342,           0,        215
 71,          1502,            1436,           1421,       348,           0,        216
 72,          1503,            1436,           1502,       362,           0,        225
 73,          1571,            1503,           1673,       370,           0,        231
 74,          1616,            1547,           1619,       374,           0,        239
 75,          1682,            1612,           2444,       381,           0,        424
 76,          1706,            1635,           4736,       384,           0,        478
 77,          1710,            1638,           4159,       386,           0,        545
 78,          1746,            1673,           3469,       388,           0,        452
 79,          1814,            1740,           3724,       403,           0,        387
 80,          1819,            1744,           1765,       401,           0,        274
 81,          1859,            1783,           1614,       407,           0,        231
 82,          1882,            1805,           1651,       416,           0,        248
 83,          1933,            1855,           1724,       426,           0,        237
 84,          1938,            1859,           1717,       432,           0,        241
 85,          1983,            1903,           1857,       441,           0,        277
 86,          2010,            1929,           1907,       445,           0,        252
 87,          2055,            1973,           1935,       451,           0,        257
 88,          2094,            2011,           1934,       452,           0,        281
 89,          2130,            2046,           2407,       459,           0,        316
 90,          2185,            2100,           1968,       457,           0,        262
 91,          2198,            2112,           2042,       470,           0,        270
 92,          2212,            2125,           1924,       490,           0,        273
 93,          2255,            2167,           2043,       496,           0,        325
 94,          2295,            2206,           2166,       507,           0,        317
 95,          2303,            2213,           3454,       507,           0,        402
 96,          2379,            2288,           2466,       514,           0,        317
 97,          2421,            2329,           2363,       520,           0,        293
 98,          2517,            2424,           2267,       533,           0,        296
 99,          2602,            2508,           2442,       533,           0,        399
100,          2664,            2569,           3322,       549,           0,        343
