   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   0,             0,               0,              4,         0,           0,          0
   1,             0,               0,              3,         0,           0,          0
   2,             1,               0,              7,         1,           0,         10
   3,             3,               1,             11,         2,           0,         11
   4,             4,               1,             11,         5,           0,         12
   5,             8,               4,             25,         8,           0,         18
   6,            11,               6,             20,        10,           0,         20
   7,            16,              10,             29,        13,           0,         36
   8,            20,              13,             87,        16,           0,         30
   9,            26,              18,            109,        19,           0,         61
  10,            28,              19,             87,        25,           0,        125
  11,            30,              20,             98,        27,           0,         46
  12,            33,              22,             83,        28,           0,         77
  13,            34,              22,             61,        32,           0,         52
  14,            42,              29,            182,        38,           0,        113
  15,            51,              37,            167,        42,           0,        118
  16,            62,              47,            190,        46,           0,         73
  17,            78,              62,            143,        51,           0,         77
  18,            91,              74,            163,        53,           0,         82
  19,            96,              78,            173,        59,           0,         90
  20,           110,              91,            198,        66,           0,         97
  21,           128,             108,            234,        72,           0,        103
  22,           131,             110,            237,        75,           0,        107
  23,           132,             110,            429,        76,           0,        453
  24,           154,             131,            236,        80,           0,        109
  25,           176,             152,            271,        84,           0,        140
  26,           189,             164,            352,        92,           0,        107
  27,           213,             187,            319,        95,           0,        111
  28,           235,             208,            437,       104,           0,        125
  29,           250,             222,            376,       108,           0,        123
  30,           266,             237,            444,       113,           0,        102
  31,           275,             245,            330,       117,           0,        105
  32,           286,             255,            344,       120,           0,        108
  33,           312,             280,            386,       126,           0,        115
  34,           342,             309,            420,       133,           0,        120
  35,           373,             339,            458,       136,           0,         93
  36,           385,             350,            352,       145,           0,        171
  37,           414,             378,            380,       147,           0,         97
  38,           437,             400,            396,       152,           0,        104
  39,           457,             419,            422,       160,           0,        112
  40,           482,             443,            450,       169,           0,        111
  41,           513,             473,            467,       175,           0,        112
  42,           535,             494,            503,       178,           0,        121
  43,           573,             531,            553,       183,           0,        128
  44,           580,             537,            702,       193,           0,        298
  45,           618,             574,           1132,       199,           0,        205
  46,           622,             577,            996,       197,           0,        133
  47,           656,             610,            612,       200,           0,        132
  48,           692,             645,            644,       206,           0,        134
  49,           720,             672,            731,       212,           0,        181
  50,           735,             686,            748,       219,           0,        164
  51,           776,             726,            747,       229,           0,        148
  52,           789,             738,            734,       232,           0,        145
  53,           791,             739,            975,       236,           0,        164
  54,           832,             779,           1152,       244,           0,        308
  55,           863,             809,           1644,       248,           0,        365
  56,           882,             827,           1488,       263,           0,        180
  57,           896,             840,            870,       267,           0,        169
  58,           906,             849,            850,       267,           0,        169
  59,           947,             889,            956,       280,           0,        174
  60,           960,             901,            985,       287,           0,        225
  61,          1020,             961,           1000,       289,           0,        180
  62,          1042,             982,            978,       297,           0,        184
  63,          1058,             997,            992,       303,           0,        186
  64,          1060,             998,           1051,       309,           0,        217
  65,          1094,            1031,           1134,       316,           0,        211
  66,          1104,            1040,           1062,       318,           0,        199
  67,          1130,            1065,           1080,       325,           0,        226
  68,          1183,            1117,           1373,       335,           0,        230
  69,          1184,            1117,           1142,       339,           0,        210
  70,          1225,            1157,           1151,       343,           0,        213
  71,          1255,            1186,           1178,       350,           0,        213
  72,          1305,            1235,           1274,       361,           0,        225
  73,          1375,            1304,           1311,       368,           0,        232
  74,          1406,            1334,           1501,       370,           0,        254
  75,          1471,            1398,           1543,       373,           0,        232
  76,          1539,            1465,           1866,       382,           0,        239
  77,          1570,            1495,           1754,       390,           0,        222
  78,          1608,            1532,           1581,       397,           0,        227
  79,          1650,            1573,           1461,       402,           0,        226
  80,          1707,            1629,           1482,       413,           0,        233
  81,          1762,            1683,           1595,       418,           0,        234
  82,          1808,            1728,           1565,       423,           0,        239
  83,          1852,            1771,           1605,       431,           0,        241
  84,          1929,            1847,           2062,       436,           0,        275
  85,          1976,            1893,           2162,       439,           0,        375
  86,          1985,            1901,           1760,       452,           0,        282
  87,          2065,            1980,           2019,       464,           0,        387
  88,          2115,            2029,           1881,       473,           0,        265
  89,          2169,            2082,           1924,       477,           0,        265
  90,          2223,            2135,           1932,       484,           0,        271
  91,          2267,            2178,           2250,       492,           0,        300
  92,          2326,            2236,           2666,       487,           0,        324
  93,          2333,            2242,           2079,       492,           0,        276
  94,          2426,            2335,           2111,       497,           0,        281
  95,          2504,            2412,           2187,       504,           0,        280
  96,          2518,            2425,           2308,       509,           0,        292
  97,          2576,            2482,           2501,       516,           0,        293
  98,          2578,            2483,           2286,       524,           0,        294
  99,          2633,            2537,           2299,       535,           0,        295
 100,          2660,            2563,           2350,       544,           0,        304
 101,          2740,            2642,           2388,       550,           0,        303
 102,          2808,            2709,           2482,       559,           0,        313
 103,          2812,            2712,           2454,       564,           0,        310
 104,          2915,            2815,           2580,       574,           0,        319
 105,          2928,            2827,           2649,       582,           0,        362
 106,          3010,            2908,           2721,       581,           0,        323
