    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,              3,         0,           0,          0
    1,             0,               0,              1,         0,           0,          0
    2,             1,               0,              5,         1,           0,          3
    3,             2,               0,              1,         2,           0,          5
    4,             5,               3,              9,         5,           0,          7
    5,             7,               4,              7,         7,           0,          9
    6,            12,               9,             10,        10,           0,         10
    7,            18,              15,             16,        12,           0,         12
    8,            25,              21,             23,        16,           0,         14
    9,            28,              23,             25,        20,           0,         17
   10,            35,              29,             33,        21,           0,         18
   11,            36,              29,             32,        26,           0,         20
   12,            46,              38,             41,        31,           0,         25
   13,            50,              41,             46,        34,           0,         27
   14,            56,              46,             50,        37,           0,         30
   15,            60,              49,             53,        43,           0,         31
   16,            69,              57,             61,        48,           0,         35
   17,            72,              59,             64,        52,           0,         38
   18,            87,              73,             82,        58,           0,         43
   19,            97,              82,             89,        62,           0,         45
   20,           101,              85,             97,        64,           0,         51
   21,           112,              95,            110,        69,           0,         54
   22,           113,              95,            176,        74,           0,        113
   23,           116,              97,            325,        75,           0,        205
   24,           126,             106,            283,        84,           0,        115
   25,           147,             126,            725,        88,           0,        267
   26,           159,             137,            612,        94,           0,        120
   27,           176,             153,            292,        97,           0,        121
   28,           182,             158,            303,       102,           0,        128
   29,           189,             164,            356,       105,           0,        138
   30,           211,             185,            360,       116,           0,        146
   31,           241,             215,            432,       116,           0,        153
   32,           268,             241,            441,       124,           0,        146
   33,           294,             266,            797,       129,           0,        167
   34,           318,             289,            725,       130,           0,        157
   35,           346,             316,            315,       136,           0,        147
   36,           381,             350,            955,       146,           0,        815
   37,           397,             365,            582,       153,           0,        106
   38,           431,             398,            557,       156,           0,        208
   39,           469,             436,            681,       158,           0,        188
   40,           497,             463,            845,       163,           0,        198
   41,           512,             477,            873,       166,           0,        200
   42,           514,             478,            881,       177,           0,        251
   43,           519,             482,            878,       179,           0,        218
   44,           531,             493,            905,       184,           0,        230
   45,           575,             537,           1206,       193,           0,        277
   46,           618,             579,           1322,       196,           0,        245
   47,           633,             593,           1191,       195,           0,        236
   48,           652,             611,           1596,       208,           0,        258
   49,           696,             654,           1243,       215,           0,        148
   50,           723,             680,            658,       222,           0,        131
   51,           753,             709,            771,       227,           0,        138
   52,           804,             759,            735,       234,           0,        195
   53,           855,             809,            810,       239,           0,        143
   54,           905,             858,            777,       243,           0,        145
   55,           927,             879,           1193,       245,           0,        165
   56,           973,             924,            905,       257,           0,        163
   57,          1026,             976,            949,       263,           0,        173
   58,          1036,             985,           1178,       266,           0,        397
   59,          1091,            1039,           1046,       271,           0,        160
   60,          1134,            1081,            980,       281,           0,        160
   61,          1162,            1108,           1212,       288,           0,        165
   62,          1198,            1143,           1246,       289,           0,        169
   63,          1216,            1160,           1047,       298,           0,        169
   64,          1235,            1178,           1064,       302,           0,        188
   65,          1293,            1235,           1327,       309,           0,        677
   66,          1350,            1291,           1887,       317,           0,        187
   67,          1363,            1303,           1197,       322,           0,        184
   68,          1408,            1347,           1218,       329,           0,        189
   69,          1430,            1368,           1441,       333,           0,        195
   70,          1499,            1436,           1295,       344,           0,        211
   71,          1529,            1465,           1502,       347,           0,        201
   72,          1540,            1475,           1338,       358,           0,        204
   73,          1587,            1521,           1464,       365,           0,        211
   74,          1630,            1563,           1663,       371,           0,        273
   75,          1699,            1631,           1851,       377,           0,        217
   76,          1760,            1691,           1525,       388,           0,        220
   77,          1806,            1736,           1597,       389,           0,        220
   78,          1810,            1739,           1598,       396,           0,        235
   79,          1837,            1765,           1782,       395,           0,        225
   80,          1879,            1806,           1626,       409,           0,        228
   81,          1907,            1833,           1691,       417,           0,        270
   82,          1933,            1858,           2111,       417,           0,        266
   83,          1936,            1860,           2340,       417,           0,        239
   84,          1980,            1903,           2291,       437,           0,        248
   85,          2050,            1972,           1775,       442,           0,        247
   86,          2053,            1974,           3217,       440,           0,        252
   87,          2089,            2009,           1852,       449,           0,        253
   88,          2129,            2048,           1912,       458,           0,        255
   89,          2191,            2109,           2079,       466,           0,        259
   90,          2270,            2187,           1994,       474,           0,        260
   91,          2323,            2239,           2254,       482,           0,        272
   92,          2333,            2248,           2268,       483,           0,        363
   93,          2400,            2314,           2783,       491,           0,        297
   94,          2425,            2338,           2291,       492,           0,        289
   95,          2454,            2366,           3536,       499,           0,        324
   96,          2542,            2453,           2371,       513,           0,        308
   97,          2630,            2540,           3193,       519,           0,        312
   98,          2695,            2604,           2899,       529,           0,        344
   99,          2710,            2618,           2623,       531,           0,        381
  100,          2797,            2704,           2933,       546,           0,        304
  101,          2811,            2717,           2465,       551,           0,        299
  102,          2870,            2775,           2786,       549,           0,        307
  103,          2904,            2808,           2524,       561,           0,        306
  104,          2979,            2882,           2620,       573,           0,        376
  105,          3083,            2985,           2787,       578,           0,        419
  106,          3110,            3011,           2831,       583,           0,        797
  107,          3199,            3099,           2982,       594,           0,        341
  108,          3238,            3137,           2840,       596,           0,        328
  109,          3333,            3231,           2939,       601,           0,        355
  110,          3372,            3269,           3077,       608,           0,        520
  111,          3457,            3353,           3015,       614,           0,        337
  112,          3568,            3464,           3170,       630,           0,        343
  113,          3603,            3498,           3329,       637,           0,        350
  114,          3626,            3520,           3228,       640,           0,        349
  115,          3738,            3631,           3293,       651,           0,        354
  116,          3801,            3693,           3335,       646,           0,        351
  117,          3820,            3711,           3421,       653,           0,        360
  118,          3912,            3802,           3852,       660,           0,        372
  119,          3956,            3845,           3846,       663,           0,        404
  120,          4075,            3964,           3557,       681,           0,        368
  121,          4103,            3991,           3618,       687,           0,        370
  122,          4218,            4105,           3753,       692,           0,        374
  123,          4304,            4190,           3833,       702,           0,        375
  124,          4321,            4206,           3815,       706,           0,        380
  125,          4352,            4236,           4072,       710,           0,        388
  126,          4463,            4346,           4014,       721,           0,        389
  127,          4564,            4446,           3987,       728,           0,        392
  128,          4623,            4504,           4513,       735,           0,        401
  129,          4704,            4584,           4172,       742,           0,        403
  130,          4824,            4703,           4965,       745,           0,        410
  131,          4943,            4821,           4361,       754,           0,        411
  132,          5008,            4885,           4485,       768,           0,        418
  133,          5087,            4963,           4545,       774,           0,        419
  134,          5209,            5084,           5288,       777,           0,        427
  135,          5260,            5134,           4746,       786,           0,        468
  136,          5282,            5155,           4776,       789,           0,        583
  137,          5331,            5203,           5753,       795,           0,        437
  138,          5419,            5290,           4741,       803,           0,        469
  139,          5421,            5291,           5195,       812,           0,        670
  140,          5493,            5362,           5090,       828,           0,        493
