    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
    0,             0,               0,             22,         0,           0,          0
    1,             0,               0,              2,         0,           0,          1
    2,             1,               0,              8,         1,           0,          8
    3,             2,               0,              3,         2,           0,          8
    4,             5,               3,             13,         5,           0,          9
    5,             7,               4,              8,         7,           0,         15
    6,            12,               9,             22,        10,           0,         21
    7,            18,              15,             20,        12,           0,         26
    8,            25,              21,             41,        16,           0,         32
    9,            28,              23,             36,        20,           0,         35
   10,            35,              29,             59,        21,           0,         35
   11,            36,              29,             49,        26,           0,         45
   12,            46,              38,             75,        31,           0,         63
   13,            50,              41,             77,        34,           0,         57
   14,            56,              46,             95,        37,           0,         45
   15,            60,              49,             61,        43,           0,         63
   16,            69,              57,            108,        48,           0,         74
   17,            72,              59,             99,        52,           0,         49
   18,            87,              73,            154,        58,           0,         49
   19,            97,              82,            131,        62,           0,         60
   20,           101,              85,            138,        64,           0,         55
   21,           112,              95,            182,        69,           0,         59
   22,           113,              95,            155,        74,           0,         60
   23,           116,              97,            168,        75,           0,         61
   24,           126,             106,            184,        84,           0,        102
   25,           147,             126,            236,        88,           0,         75
   26,           159,             137,            241,        94,           0,         76
   27,           176,             153,            224,        97,           0,         80
   28,           182,             158,            278,       102,           0,         90
   29,           189,             164,            246,       105,           0,        107
   30,           211,             185,            232,       116,           0,         89
   31,           241,             215,            250,       116,           0,         93
   32,           268,             241,            273,       124,           0,         97
   33,           294,             266,            295,       129,           0,        101
   34,           318,             289,            432,       130,           0,        106
   35,           346,             316,            376,       136,           0,        107
   36,           381,             350,            512,       146,           0,        213
   37,           397,             365,            433,       153,           0,        120
   38,           431,             398,            864,       156,           0,        134
   39,           469,             436,            494,       158,           0,        132
   40,           497,             463,            539,       163,           0,        138
   41,           512,             477,            518,       166,           0,        128
   42,           514,             478,            578,       177,           0,        134
   43,           519,             482,            571,       179,           0,        138
   44,           531,             493,            566,       184,           0,        169
   45,           575,             537,            605,       193,           0,        161
   46,           618,             579,            607,       196,           0,        233
   47,           633,             593,            681,       195,           0,        155
   48,           652,             611,            684,       208,           0,        156
   49,           696,             654,            686,       215,           0,        163
   50,           723,             680,            744,       222,           0,        166
   51,           753,             709,            751,       227,           0,        168
   52,           804,             759,            751,       234,           0,        170
   53,           855,             809,            848,       239,           0,        276
   54,           905,             858,           1003,       243,           0,        181
   55,           927,             879,           1028,       245,           0,        225
   56,           973,             924,            972,       257,           0,        223
   57,          1026,             976,           1426,       263,           0,        200
   58,          1036,             985,           1350,       266,           0,        200
   59,          1091,            1039,           1107,       271,           0,        199
   60,          1134,            1081,           1085,       281,           0,        208
   61,          1162,            1108,           1072,       288,           0,        632
   62,          1198,            1143,           2273,       289,           0,        744
   63,          1216,            1160,           1895,       298,           0,        211
   64,          1235,            1178,           1652,       302,           0,        226
   65,          1293,            1235,           1807,       309,           0,        267
   66,          1350,            1291,           1582,       317,           0,        208
   67,          1363,            1303,           1387,       322,           0,        229
   68,          1408,            1347,           1660,       329,           0,        237
