    n, merge_cmp, merge_swaps, merge_time
    0,         0,           0,          2
    1,         0,           0,          1
    2,         1,           0,         14
    3,         2,           0,          9
    4,         5,           0,         12
    5,         7,           0,          9
    6,        10,           0,         13
    7,        12,           0,         15
    8,        16,           0,         20
    9,        20,           0,         26
   10,        21,           0,         22
   11,        26,           0,         35
   12,        31,           0,         28
   13,        34,           0,         39
   14,        37,           0,         41
   15,        43,           0,         44
   16,        48,           0,         46
   17,        52,           0,         61
   18,        58,           0,         52
   19,        62,           0,         70
   20,        64,           0,         61
   21,        69,           0,         68
   22,        74,           0,         80
   23,        75,           0,         73
   24,        84,           0,         79
   25,        88,           0,         82
   26,        94,           0,         87
   27,        97,           0,         90
   28,       102,           0,        104
   29,       105,           0,         99
   30,       116,           0,        107
   31,       116,           0,        102
   32,       124,           0,        119
   33,       129,           0,        126
   34,       130,           0,        113
   35,       136,           0,        122
   36,       146,           0,        122
   37,       153,           0,        144
   38,       156,           0,        130
   39,       158,           0,        149
   40,       163,           0,        136
   41,       166,           0,        154
   42,       177,           0,        145
   43,       179,           0,        159
   44,       184,           0,        149
   45,       193,           0,        164
   46,       196,           0,        166
   47,       195,           0,        270
   48,       208,           0,        228
   49,       215,           0,        187
   50,       222,           0,        183
   51,       227,           0,        185
   52,       234,           0,        190
   53,       239,           0,        198
   54,       243,           0,        196
   55,       245,           0,        199
   56,       257,           0,        216
   57,       263,           0,        207
   58,       266,           0,        213
   59,       271,           0,        213
   60,       281,           0,        318
   61,       288,           0,        229
   62,       289,           0,        241
   63,       298,           0,        230
   64,       302,           0,        240
   65,       309,           0,        293
   66,       317,           0,        247
   67,       322,           0,        245
   68,       329,           0,        249
   69,       333,           0,        305
   70,       344,           0,        264
   71,       347,           0,        267
   72,       358,           0,        267
   73,       365,           0,        268
   74,       371,           0,        284
   75,       377,           0,        277
   76,       388,           0,        282
   77,       389,           0,        283
   78,       396,           0,        286
   79,       395,           0,        288
   80,       409,           0,        293
   81,       417,           0,        308
   82,       417,           0,        298
   83,       417,           0,        360
   84,       437,           0,        315
   85,       442,           0,        319
   86,       440,           0,        378
   87,       449,           0,        322
   88,       458,           0,        324
   89,       466,           0,        326
   90,       474,           0,        339
   91,       482,           0,        334
   92,       483,           0,        336
   93,       491,           0,        339
   94,       492,           0,        343
   95,       499,           0,        344
   96,       513,           0,        360
   97,       519,           0,        356
   98,       529,           0,        374
   99,       531,           0,        363
  100,       546,           0,        384
  101,       551,           0,        372
  102,       549,           0,        467
  103,       561,           0,        389
  104,       573,           0,        408
  105,       578,           0,        523
  106,       583,           0,        410
  107,       594,           0,        422
  108,       596,           0,        404
  109,       601,           0,        406
  110,       608,           0,        409
  111,       614,           0,        412
  112,       630,           0,        419
  113,       637,           0,        560
  114,       640,           0,        427
  115,       651,           0,        428
  116,       646,           0,        425
  117,       653,           0,        429
  118,       660,           0,        434
  119,       663,           0,        437
  120,       681,           0,        447
  121,       687,           0,        445
  122,       692,           0,        471
  123,       702,           0,        599
  124,       706,           0,        468
  125,       710,           0,        883
  126,       721,           0,        891
  127,       728,           0,        900
  128,       735,           0,        806
  129,       742,           0,        465
  130,       745,           0,        495
  131,       754,           0,        556
  132,       768,           0,        507
  133,       774,           0,        510
  134,       777,           0,        499
  135,       786,           0,        504
  136,       789,           0,        513
  137,       795,           0,        511
  138,       803,           0,        539
  139,       812,           0,        518
  140,       828,           0,        525
  141,       838,           0,        570
  142,       840,           0,        535
  143,       848,           0,        539
  144,       858,           0,        554
  145,       865,           0,        550
  146,       875,           0,        555
  147,       881,           0,        556
  148,       888,           0,        558
  149,       895,           0,        562
  150,       903,           0,        854
  151,       915,           0,       1118
  152,       925,           0,       1241
  153,       931,           0,        826
  154,       931,           0,        684
  155,       935,           0,        776
  156,       951,           0,        602
  157,       956,           0,        612
  158,       953,           0,        787
  159,       963,           0,        612
  160,       982,           0,        613
  161,       988,           0,        620
  162,       994,           0,        617
  163,      1001,           0,        663
  164,       996,           0,        624
  165,      1002,           0,        627
  166,      1008,           0,        629
  167,      1018,           0,        635
  168,      1047,           0,        645
  169,      1055,           0,        771
  170,      1058,           0,        649
  171,      1060,           0,        710
  172,      1061,           0,        674
  173,      1068,           0,        679
  174,      1082,           0,        776
  175,      1089,           0,        690
  176,      1097,           0,       1331
  177,      1101,           0,       1488
  178,      1121,           0,        760
  179,      1129,           0,        720
  180,      1129,           0,        752
  181,      1139,           0,        699
  182,      1156,           0,        713
  183,      1150,           0,        773
  184,      1162,           0,        719
  185,      1171,           0,        727
  186,      1168,           0,        718
  187,      1178,           0,        724
  188,      1184,           0,        950
  189,      1190,           0,       1433
  190,      1203,           0,        921
  191,      1208,           0,       1072
  192,      1216,           0,        792
  193,      1224,           0,        767
  194,      1245,           0,        826
  195,      1257,           0,        779
  196,      1256,           0,        765
  197,      1266,           0,        767
  198,      1275,           0,        771
  199,      1278,           0,        771
  200,      1293,           0,        957
  201,      1301,           0,        805
  202,      1312,           0,        797
  203,      1316,           0,        952
  204,      1314,           0,        788
  205,      1324,           0,        800
  206,      1340,           0,        872
  207,      1336,           0,        817
  208,      1357,           0,        818
  209,      1365,           0,        880
  210,      1370,           0,        826
  211,      1383,           0,        834
  212,      1384,           0,        843
  213,      1391,           0,        999
  214,      1409,           0,        880
  215,      1411,           0,       1641
  216,      1414,           0,        854
  217,      1422,           0,        864
