      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
      0,             0,               0,             26,         0,           0,         24
      1,             0,               0,              3,         0,           0,          2
      2,             1,               1,            102,         1,           0,         98
      3,             3,               2,             27,         3,           0,         39
      4,             6,               4,             50,         5,           0,         62
      5,            10,               8,             64,         8,           0,         87
      6,            13,              10,             80,        10,           0,         81
      7,            18,              14,             86,        13,           0,         99
      8,            19,              14,             92,        17,           0,        110
      9,            27,              22,            128,        21,           0,        125
     10,            36,              31,            173,        25,           0,        134
     11,            42,              36,            215,        28,           0,        150
     12,            53,              47,            257,        32,           0,        164
     13,            58,              51,            279,        36,           0,        184
     14,            65,              57,            444,        39,           0,        226
     15,            75,              66,            336,        44,           0,        247
     16,            84,              74,            400,        44,           0,        230
     17,           100,              89,            447,        49,           0,        250
     18,           104,              92,            463,        57,           0,        277
     19,           115,             102,           1112,        59,           0,        527
     20,           129,             115,            602,        66,           0,        365
     21,           144,             129,            653,        70,           0,        374
     22,           161,             145,            718,        74,           0,        391
     23,           178,             161,            841,        77,           0,        784
     24,           183,             165,           1183,        85,           0,        454
     25,           207,             189,           2047,        91,           0,        468
     26,           222,             203,            990,        94,           0,        483
     27,           248,             228,           1105,       100,           0,        519
     28,           265,             244,           1180,       103,           0,        526
     29,           292,             270,           1486,       109,           0,        663
     30,           317,             294,           1488,       113,           0,        586
     31,           324,             300,           1924,       118,           0,       1527
     32,           331,             306,           3299,       119,           0,       1044
     33,           342,             316,           1670,       123,           0,        625
     34,           359,             332,           1920,       129,           0,       1245
     35,           392,             364,           2115,       133,           0,       3025
     36,           427,             398,           2396,       145,           0,        786
     37,           433,             403,           2755,       150,           0,        756
     38,           438,             407,           2890,       150,           0,        915
     39,           444,             412,           3639,       155,           0,       1253
     40,           473,             440,           2355,       166,           0,        932
     41,           512,             478,           2352,       172,           0,       1059
     42,           544,             509,           4037,       173,           0,       1609
     43,           550,             514,           2586,       179,           0,        903
     44,           579,             542,           4096,       185,           0,       1597
     45,           585,             547,           3697,       188,           0,       2341
     46,           617,             578,           9467,       197,           0,       1739
     47,           639,             599,           8004,       200,           0,       1595
     48,           676,             635,           3615,       204,           0,        973
     49,           685,             643,           5398,       209,           0,       7276
     50,           693,             650,           2968,       222,           0,       1003
     51,           707,             663,           3372,       231,           0,       1888
     52,           748,             703,           3714,       227,           0,       1032
     53,           794,             748,           4652,       234,           0,       2715
     54,           833,             786,           4842,       244,           0,       1095
     55,           872,             824,           4551,       247,           0,       1493
     56,           886,             837,           4835,       255,           0,       1995
     57,           937,             887,           4791,       261,           0,       1155
     58,           985,             934,           4888,       266,           0,       1719
     59,          1002,             950,           6487,       272,           0,       1324
     60,          1030,             977,           5906,       276,           0,       3175
     61,          1057,            1003,           6180,       286,           0,       2482
     62,          1074,            1019,           8201,       290,           0,       1291
     63,          1132,            1076,           5928,       296,           0,       2171
     64,          1171,            1114,           5594,       294,           0,       1297
     65,          1219,            1161,           6906,       300,           0,       2320
     66,          1239,            1180,           5252,       312,           0,       1700
     67,          1282,            1222,           7375,       312,           0,       2382
     68,          1337,            1276,           5761,       321,           0,       1814
     69,          1405,            1343,           8250,       325,           0,       1477
     70,          1472,            1409,           8811,       335,           0,       2564
     71,          1496,            1432,           7081,       339,           0,       1673
     72,          1503,            1438,          10040,       357,           0,       1583
     73,          1517,            1451,          11247,       361,           0,       1578
     74,          1545,            1478,           7483,       369,           0,       4273
     75,          1566,            1498,           8228,       369,           0,       3843
     76,          1597,            1528,           9419,       376,           0,       5004
     77,          1631,            1561,          12708,       382,           0,       4690
     78,          1706,            1635,           8336,       389,           0,       1822
     79,          1743,            1671,          16439,       397,           0,       3193
     80,          1801,            1728,          10744,       398,           0,      32663
     81,          1808,            1734,           8530,       410,           0,       1780
     82,          1877,            1802,          10346,       416,           0,       1819
     83,          1879,            1803,          11023,       425,           0,       2323
     84,          1943,            1866,           9053,       431,           0,       4200
     85,          2023,            1945,          10941,       440,           0,       2486
     86,          2047,            1968,           9634,       447,           0,       6169
     87,          2061,            1981,          10206,       449,           0,       3923
     88,          2129,            2048,          17172,       463,           0,       2205
     89,          2141,            2059,          12732,       466,           0,       2083
     90,          2164,            2081,          13516,       463,           0,       2207
     91,          2253,            2169,          13708,       470,           0,       2024
     92,          2271,            2186,          12760,       480,           0,       2479
     93,          2320,            2234,          13411,       491,           0,       2146
     94,          2368,            2281,          14358,       499,           0,       2259
     95,          2409,            2321,          13907,       494,           0,       2126
     96,          2419,            2330,          13464,       508,           0,       2176
     97,          2466,            2376,          14519,       516,           0,       2389
     98,          2544,            2453,          14248,       524,           0,       2326
     99,          2579,            2487,          15076,       527,           0,       2720
    100,          2638,            2545,          15141,       539,           0,       2491
    101,          2675,            2581,          14235,       550,           0,       4098
    102,          2739,            2644,          14668,       564,           0,       2578
    103,          2760,            2664,          14993,       560,           0,       2380
    104,          2799,            2702,          16367,       565,           0,       2481
    105,          2814,            2716,          17297,       572,           0,       3897
    106,          2826,            2727,          13741,       577,           0,       3365
    107,          2842,            2742,          13314,       582,           0,       3103
    108,          2892,            2791,          13921,       600,           0,       2639
    109,          2919,            2817,          15465,       610,           0,       2635
    110,          3017,            2914,          16705,       612,           0,       2858
    111,          3077,            2973,          15973,       608,           0,       3245
    112,          3135,            3030,          16450,       619,           0,       3021
    113,          3242,            3136,          16225,       623,           0,       2657
    114,          3303,            3196,          16252,       634,           0,       2962
    115,          3337,            3229,          17798,       639,           0,       4336
    116,          3438,            3329,          16870,       648,           0,       2827
    117,          3440,            3330,          17293,       659,           0,       3244
    118,          3530,            3419,          18616,       667,           0,       6231
    119,          3545,            3433,          18394,       673,           0,       3321
    120,          3577,            3464,          20216,       682,           0,       3816
    121,          3654,            3540,          18553,       688,           0,       2891
    122,          3745,            3630,          20967,       696,           0,       3593
    123,          3849,            3733,          18809,       703,           0,       3232
    124,          3921,            3804,          19354,       706,           0,       5767
    125,          3988,            3870,          27907,       714,           0,       3018
    126,          4024,            3905,          19244,       721,           0,       3144
    127,          4147,            4027,          21671,       725,           0,       3652
    128,          4221,            4100,          20204,       723,           0,       3978
    129,          4306,            4184,          24374,       730,           0,       3373
    130,          4314,            4191,          20638,       744,           0,       4313
    131,          4359,            4235,          22678,       751,           0,       3798
    132,          4412,            4287,          21749,       761,           0,       3228
    133,          4500,            4374,          22596,       770,           0,       3255
    134,          4503,            4376,          21224,       769,           0,       3609
    135,          4568,            4440,          24398,       774,           0,       3340
    136,          4579,            4450,          23449,       789,           0,       3785
    137,          4606,            4476,          21378,       797,           0,       3738
    138,          4682,            4551,          23799,       794,           0,       3701
    139,          4793,            4661,          24337,       810,           0,       3438
    140,          4849,            4716,          26273,       818,           0,       3502
    141,          4880,            4746,          23070,       824,           0,       5367
    142,          4976,            4841,          23266,       825,           0,       3915
    143,          5021,            4885,          25667,       830,           0,       4706
    144,          5040,            4903,          24574,       862,           0,       4426
    145,          5083,            4945,          24622,       870,           0,       3690
    146,          5215,            5076,          27582,       873,           0,       3646
    147,          5311,            5171,          27034,       882,           0,       3805
    148,          5315,            5174,          26407,       882,           0,       3874
    149,          5381,            5239,          28192,       895,           0,       3934
